epoch,psnr,ssim,lpips,psnr_y,ssim_y,train_loss
1,14.5627,0.1992,0.6813,nan,nan,0.499176
1,13.8427,0.1896,0.6700,nan,nan,0.498196
1,14.5836,0.2114,0.6668,nan,nan,0.499480
1,13.9812,0.1864,0.6743,nan,nan,0.500046
1,14.0894,0.1993,0.6727,nan,nan,0.500644
1,14.4482,0.2015,0.6636,nan,nan,0.500106
1,14.2402,0.1885,0.6768,nan,nan,0.499016
1,13.8925,0.1846,0.7128,nan,nan,0.498266
1,14.9330,0.2068,0.6655,nan,nan,0.499563
1,13.8999,0.1949,0.6885,nan,nan,0.499207
1,14.1156,0.1989,0.7044,nan,nan,0.498138
1,14.0801,0.2004,0.6863,nan,nan,0.499142
1,14.8141,0.2108,0.6887,nan,nan,0.498774
1,14.3377,0.1943,0.6732,nan,nan,0.497610
1,13.8842,0.1790,0.7050,nan,nan,0.497331
1,14.0411,0.1939,0.7083,nan,nan,0.497034
1,13.7813,0.1836,0.6884,nan,nan,0.496319
1,14.3878,0.1971,0.6798,nan,nan,0.495877
1,13.9802,0.1837,0.6995,nan,nan,0.495276
1,14.1272,0.2000,0.6880,nan,nan,0.494482
1,14.1161,0.1821,0.7027,nan,nan,0.494528
1,14.5688,0.2003,0.7192,nan,nan,0.494217
1,14.1553,0.1968,0.6702,nan,nan,0.493697
1,13.8491,0.1899,0.6777,nan,nan,0.493846
1,14.4687,0.1934,0.6914,nan,nan,0.494822
1,14.1339,0.1947,0.6772,nan,nan,0.495115
1,14.3720,0.1938,0.6689,nan,nan,0.493999
1,14.3708,0.2007,0.6644,nan,nan,0.494110
1,14.1597,0.1959,0.6899,nan,nan,0.493168
1,14.2300,0.2042,0.6879,nan,nan,0.493716
1,14.1761,0.1936,0.6922,nan,nan,0.493094
1,14.1458,0.1847,0.6706,nan,nan,0.492114
1,13.8321,0.1870,0.7030,nan,nan,0.491227
1,13.9492,0.1931,0.7042,nan,nan,0.490704
1,14.4075,0.2026,0.6767,nan,nan,0.490130
1,14.0817,0.1872,0.7224,nan,nan,0.489094
1,14.4002,0.1928,0.6958,nan,nan,0.489065
1,14.3458,0.1945,0.7084,nan,nan,0.490049
1,14.1219,0.1933,0.6739,nan,nan,0.490024
1,13.7709,0.1856,0.6793,nan,nan,0.489884
1,13.3215,0.1874,0.6832,nan,nan,0.490778
1,14.0603,0.1890,0.6851,nan,nan,0.490842
1,14.9478,0.2063,0.6712,nan,nan,0.490652
1,14.0391,0.1881,0.6911,nan,nan,0.490773
1,14.1904,0.1859,0.6914,nan,nan,0.490584
1,13.9129,0.1930,0.6912,nan,nan,0.489586
1,13.7791,0.1863,0.7054,nan,nan,0.489391
1,13.4661,0.1724,0.7025,nan,nan,0.490301
1,14.1828,0.1917,0.6840,nan,nan,0.489271
1,14.3137,0.1940,0.6845,nan,nan,0.489098
1,14.4742,0.1944,0.7057,nan,nan,0.490237
1,13.9641,0.1957,0.6755,nan,nan,0.490841
1,14.6217,0.2010,0.6833,nan,nan,0.490434
1,13.7201,0.1771,0.6836,nan,nan,0.490023
1,14.4462,0.2050,0.6671,nan,nan,0.491200
1,14.0921,0.1873,0.6779,nan,nan,0.491575
1,13.7138,0.1791,0.6929,nan,nan,0.492202
1,13.9171,0.1911,0.7128,nan,nan,0.491836
1,13.5262,0.1845,0.6725,nan,nan,0.491420
1,14.1161,0.1904,0.6671,nan,nan,0.490523
1,14.3145,0.1930,0.6870,nan,nan,0.489495
1,14.4529,0.1988,0.6925,nan,nan,0.488734
1,14.2455,0.1971,0.6737,nan,nan,0.489193
1,13.7827,0.1848,0.7104,nan,nan,0.488237
1,14.3402,0.1998,0.6866,nan,nan,0.487804
1,13.8493,0.1848,0.6966,nan,nan,0.487112
1,14.0617,0.1900,0.6724,nan,nan,0.488254
1,14.6291,0.2063,0.6776,nan,nan,0.487820
1,13.9334,0.1833,0.6806,nan,nan,0.488995
1,14.2868,0.1888,0.6696,nan,nan,0.489224
1,14.0887,0.1921,0.7065,nan,nan,0.489589
1,14.1066,0.1916,0.6828,nan,nan,0.489134
1,14.3131,0.1962,0.6916,nan,nan,0.489792
1,14.4352,0.1912,0.7020,nan,nan,0.489681
1,14.1488,0.1955,0.6960,nan,nan,0.490481
1,13.8562,0.1850,0.7083,nan,nan,0.489483
1,14.1024,0.1921,0.6910,nan,nan,0.489231
1,14.3631,0.1961,0.6805,nan,nan,0.489035
1,14.0740,0.2016,0.6957,nan,nan,0.488590
1,14.0721,0.1874,0.6949,nan,nan,0.489318
1,14.4526,0.2009,0.6710,nan,nan,0.488593
1,13.7661,0.1785,0.6833,nan,nan,0.489692
1,13.6755,0.1929,0.6776,nan,nan,0.488797
1,13.9090,0.1828,0.6899,nan,nan,0.489515
1,13.9856,0.1953,0.6771,nan,nan,0.490555
1,14.1520,0.1908,0.6721,nan,nan,0.491159
1,13.6819,0.1819,0.6912,nan,nan,0.491484
1,13.9839,0.1835,0.6941,nan,nan,0.492506
1,13.8655,0.1870,0.6939,nan,nan,0.491540
1,14.1298,0.1845,0.6998,nan,nan,0.492555
1,13.8596,0.1794,0.6824,nan,nan,0.492949
1,13.8366,0.1862,0.6932,nan,nan,0.493714
1,14.1965,0.1923,0.6962,nan,nan,0.492815
